code,name,credits,description,prerequisites
MUS 130D,— Applied Study of Music: Advanced; Organ,(1 unit),"Course Description: Class instruction, arranged by section; Organ. Offered as demand indicates.",Prerequisite(s): Consent of instructor; admission by audition.
MUS 130E,— Applied Study of Music: Advanced: Violin,(1 unit),"Course Description: Class instruction, arranged by section; Violin. Offered as demand indicates.",Prerequisite(s): Consent of instructor; admission by audition.
MUS 130F,— Applied Study of Music: Advanced; Viola,(1 unit),"Course Description: Class instruction, arranged by section; Viola. Offered as demand indicates.",Prerequisite(s): Consent of instructor; admission by audition.
MUS 130G,— Applied Study of Music: Advanced; Cello,(1 unit),"Course Description: Class instruction, arranged by section; Cello. Offered as demand indicates.",Prerequisite(s): Consent of instructor; admission by audition.
MUS 130H,— Appied Study of Music: Advanced; Double Bass,(1 unit),"Course Description: Class instruction, arranged by section; Double Bass. Offered as demand indicates.",Prerequisite(s): Consent of instructor; admission by audition.
MUS 130I,— Applied Study of Music: Advanced; Flute,(1 unit),"Course Description: Class instruction, arranged by section; Flute. Offered as demand indicates.",Prerequisite(s): Consent of instructor; admission by audition.
MUS 130J,— Applied Study of Music: Advanced; Oboe,(1 unit),"Course Description: Class instruction, arranged by section; Oboe. Offered as demand indicates.",Prerequisite(s): Consent of instructor; admission by audition.
MUS 130K,— Applied Study of Music: Advanced; Clarinet,(1 unit),"Course Description: Class instruction, arranged by section; Clarinet. Offered as demand indicates.",Prerequisite(s): Consent of instructor; admission by audition.
MUS 130L,— Applied Study of Music: Advanced; Bassoon,(1 unit),"Course Description: Class instruction, arranged by section; Bassoon. Offered as demand indicates.",Prerequisite(s): Consent of instructor; admission by audition.
MUS 130M,— Applied Study of Music: Advanced; French Horn,(1 unit),"Course Description: Class instruction, arranged by section; French Horn. Offered as demand indicates.",Prerequisite(s): Consent of instructor; admission by audition.
MUS 130N,— Applied Study of Music: Advanced; Trumpet,(1 unit),"Course Description: Class instruction, arranged by section; Trumpet. Offered as demand indicates.",Prerequisite(s): Consent of instructor; admission by audition.
MUS 130O,— Applied Study of Music: Advanced; Trombone,(1 unit),"Course Description: Class instruction, arranged by section; Trombone. Offered as demand indicates.",Prerequisite(s): Consent of instructor; admission by audition.
MUS 130P,— Applied Study of Music: Advanced; Tuba,(1 unit),"Course Description: Class instruction, arranged by section; Tuba. Offered as demand indicates.",Prerequisite(s): Consent of instructor; admission by audition.
MUS 130Q,— Applied Study of Music: Advanced; Percussion,(1 unit),"Course Description: Class instruction, arranged by section; Percussion. Offered as demand indicates.",Prerequisite(s): Consent of instructor; admission by audition.
MUS 130R,— Applied Study of Music: Advanced; Classical Guitar,(1 unit),"Course Description: Class instruction, arranged by section. Offered as demand indicates.",Prerequisite(s): Consent of instructor; admission by audition.
MUS 131A,— Applied Study of Music: Advanced (Individual),(2 units),Course Description: Individual instruction in voice.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 131B,— Applied Study of Music: Advanced (Individual); Piano,(2 units),Course Description: Individual instruction in Piano.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 131C,— Applied Study of Music: Advanced (Individual); Harpsichord,(2 units),Course Description: Individual instruction in Harpsichord.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 131D,— Applied Study of Music: Advanced (Individual); Organ,(2 units),Course Description: Individual instruction in Organ.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 131E,— Applied Study of Music: Advanced (Individual); Violin,(2 units),Course Description: Individual instruction in Violin.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 131F,— Applied Study of Music: Advanced (Individual); Viola,(2 units),Course Description: Individual instruction in Viola.,Prerequisite(s): Consent of instructor; open to Music majors only; admission by audition.
MUS 131G,— Applied Study of Music: Advanced (Individual); Cello,(2 units),Course Description: Individual instruction in Cello.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 131H,— Applied Study of Music: Advanced (Individual); Double Bass,(2 units),Course Description: Individual instruction in Double Bass.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 131I,— Applied Study of Music: Advanced (Individual); Flute,(2 units),Course Description: Individual instruction in Flute.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 131J,— Applied Study of Music: Advanced (Individual); Oboe,(2 units),Course Description: Individual instruction in Oboe.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 131K,— Applied Study of Music: Advanced (Individual); Clarinet,(2 units),Course Description: Individual instruction in Clarinet.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 131L,— Applied Study of Music: Advanced (Individual); Bassoon,(2 units),Course Description: Individual instruction in Bassoon.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 131M,— Applied Study of Music: Advanced (Individual); French Horn,(2 units),Course Description: Individual instruction in French Horn.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 131N,— Applied Study of Music: Advanced (Individual); Trumpet,(2 units),Course Description: Individual instruction in Trumpet.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 131O,— Applied Study of Music: Advanced (Individual);Trombone,(2 units),Course Description: Individual instruction in Trombone.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 131P,— Applied Study of Music: Advanced (Individual); Tuba,(2 units),Course Description: Individual instruction in Tuba.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 131Q,— Applied Study of Music: Advanced (Individual); Percussion,(2 units),Course Description: Individual instruction in Percussion.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 131R,— Applied Study of Music: Advanced (Individual); Classical Guitar,(2 units),Course Description: Individual instruction in Classical Guitar.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 131U,— Applied Study of Music: Advanced (Individual); Saxophone,(2 units),Course Description: Individual instruction in Saxophone.,Prerequisite(s): Consent of instructor.
MUS 131W,— Applied Study of Music: Advanced (Individual); Harp,(2 units),Course Description: Individual instruction in Harp.,Prerequisite(s): Consent of instructor; admitted by audition.
MUS 132,— Singing for Actors,(1 unit),"Course Description: Elements of basic singing techniques, through selected exercises, vocalises, and songs.",Prerequisite(s): Consent of instructor.
MUS 140,— University Jazz Band,(2 units),"Course Description: Rehearsal, study, and performance of jazz band music and a full variety of jazz band styles, including swing, be-bob, and contemporary jazz styles.",Prerequisite(s): Consent of instructor; admission by audition.
MUS 141,— University Symphony,(2 units),"Course Description: Open to any student in the University whose proficiency meets the requirements of concert performance. Sight-reading, rehearsal and performance of music from the orchestral literature.",Prerequisite(s): Consent of instructor; admission by audition.
MUS 142,— University Chamber Singers,(2 units),Course Description: Rehearsal and performance of works for small choral group.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 143,— University Concert Band,(2 units),Course Description: Rehearsal and performance of music for band.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 144,— University Chorus,(2 units),Course Description: Rehearsal and performance of choral music.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 145,— Early Music Ensemble,(2 units),"Course Description: Rehearsal and performance of Medieval, Renaissance, and Baroque music for vocal ensemble and historical instruments.",Prerequisite(s): Consent of instructor; admission by audition.
MUS 146,— Chamber Music Ensemble,(1 unit),"Course Description: Open to any student in the University whose proficiency meets the requirements of concert performance. Study, rehearsal, and performance of ensemble music for strings, winds, voice, piano, harpsichord, and organ.",Prerequisite(s): Consent of instructor; admission by audition.
MUS 147,— University Wind Ensemble,(2 units),"Course Description: Rehearsal, study, and performance of a full variety of wind ensemble music; and to have students share their work in public performances.",Prerequisite(s): Consent of instructor.
MUS 148,— Hindustani Vocal Ensemble,(2 units),"Course Description: Basics of Hindustani music through theory and practice. Fundamentals of raga (mode) and tala (rhythms) with special emphasis on improvisation, a central feature of khyal (singing style). Five ragas each quarter.",Prerequisite(s): Consent of instructor.
MUS 149,— Indonesian Gamelan Ensemble,(2 units),Course Description: Indonesian music practice. Basic instrumental technique and repertory. Focus on two styles of Sundanese gamelan (tuned percussion orchestras):  salendro and degung.,Prerequisite(s): Consent of instructor.
MUS 150,— Brazilian Samba School,(2 units),Course Description: Practice of Brazilian music. Basic instrumental technique and repertory. Focus on the percussion traditions of Rio de Janeiro and Bahia.,Prerequisite(s): Consent of instructor.
MUS 151,— Korean Percussion Ensemble,(2 units),Course Description: Practice of Korean percussion styles. Basic instrumental technique and repertory. Focus on the percussion traditions of samulnori and basic concepts of p'ungmul.,Prerequisite(s): Consent of instructor.
MUS 152,— Afro-Cuban Ensemble,(2 units),"Course Description: Performance of African derived folkloric music of Cuba. Basic instrumental technique and repertory. Focus on percussion and song traditions from Havana, Matazas and Santiago, Cuba.",Prerequisite(s): Consent of instructor.
MUS 153,— Brazilian Capoeira Ensemble,(2 units),"Course Description: Basic instrumental techniques, songs, and dance movements of Capoeira Angola. Protocols of a Capoeira Angola performance and the meanings of Capoeira in Brazil with its connections to Afro-Brazilian culture.",Prerequisite(s): Consent of instructor.
MUS 155,— Percussion Ensemble,(2 units),Course Description: Study and rehearsal of percussion chamber music from the 20th and 21st centuries. Study of standard and extended techniques for a broad range of percussion instruments. Public performance of significant works for percussion ensemble.,Prerequisite(s): Consent of instructor; admission by audition.
MUS 156,— Mariachi Ensemble,(2 units),Course Description: Rehearsal and performance of traditional and contemporary mariachi repertoire.,Prerequisite(s): Consent of instructor.
MUS 192,— Internship in Music,(1-4 units),Course Description: Internship outside the university related to music.,Prerequisite(s): Consent of instructor or academic advisor.
MUS 194HA,— Special Study for Honors Students,(2-4 units),"Course Description: Preparation and presentation of a culminating project, under the supervision of an instructor, in one of the creative or scholarly areas of music.",Prerequisite(s): MUS 007C; MUS 123; consent of instructor.
MUS 194HB,— Special Study for Honors Students,(2-4 units),"Course Description: Preparation and presentation of a culminating project, under the supervision of an instructor, in one of the creative or scholarly areas of music.",Prerequisite(s): MUS 194HA; consent of instructor.
MUS 195,— Senior Project,(2 units),"Course Description: Preparation of a senior project in music composition (public presentation of a new work), in music performance (a public recital), or in music history and theory (public presentation of research results).",Prerequisite(s): MUS 007C; MUS 123; consent of instructor.
MUS 198,— Directed Group Study,(1-5 units),Course Description: Directed group study.,Prerequisite(s): Consent of instructor.
MUS 199,— Special Study for Advanced Undergraduates,(1-5 units),Course Description: Special study for advanced undergraduates.,Prerequisite(s): Consent of instructor.
MUS 202,— Notation,(4 units),Course Description: Study of musical notation; investigation of techniques for editing Medieval and Renaissance music.,
MUS 203,— Music Composition,(4 units),"Course Description: Technical projects that explore compositional problems, the skill and techniques with which to solve them, and free composition.",
MUS 204,— Advanced Conducting,(3 units),Course Description: Technical aspects of conducting and the broader issues in music history and analysis that conductors must face before leading a rehearsal or performance.,Prerequisite(s): Consent of instructor.
MUS 207,— Advanced Electronic & Computer Music,(4 units),Course Description: Advanced composition of computer and electronic music.,Prerequisite(s): MUS 107A; MUS 107B; MUS 107C; consent of instructor.
MUS 210A,— Proseminar in Music: Theory & Analysis,(4 units),"Course Description: Voice-leading analysis of tonal music derived from Schenker and pitchclass set theory. Recent work on compositional design, generalizations of the concept of interval, psychologically oriented music theory, and theories of durational structure and timbre.",
MUS 210B,— Proseminar in Music: Musicology &Criticism,(4 units),"Course Description: Issues and concepts of music history, including performance practice questions for specific repertoires and periods; principles, aims, and methods of archival study; historical theory; evolution of musical styles; philosophical debates about goals and aims of the discipline in general.",
MUS 210C,— Proseminar in Music: Ethnomusicology,(4 units),"Course Description: Introduction to ethnomusicology through its intellectual history, theoretical approaches, analytical techniques, and methodologies.",
MUS 212,— Ethics of Musical Ethnography,(4 units),"Course Description: Role, methodology, perception, and assumptions of the ethnomusicologist in ethnographic scholarship. Examination of complex ethical and political questions in relation to practical fieldwork techniques.",
MUS 213,— Transcription & Notation,(4 units),"Course Description: Practical instruction in the transcription and analysis of primarily non-Western musics. Analytical and theoretical issues, the politics of representation, and the cultural values and ideologies implicit in notation.",
MUS 214,— Recent Issues in Ethnomusicology,(4 units),"Course Description: Issues, schools of thought, and basic literature in ethnomusicology from the 1980s to present. Emphasis on theory and methodology.",
MUS 221,— Topics in Music History,(4 units),Course Description: Studies in selected areas of music history and theory.,
MUS 222,— Techniques of Analysis,(4 units),Course Description: Analysis and analytical techniques as applied to music of all historical style periods.,
MUS 223,— Topics in Ethnomusicology,(4 units),"Course Description: In-depth ethnomusicological studies of selected cultures and their musics; study of historical, theoretical, contextual, and cultural features.",
MUS 298,— Directed Group Study,(1-5 units),Course Description: Directed Group Study.,Prerequisite(s): Consent of instructor.
MUS 299,— Individual Study,(1-12 units),Course Description: Individual study.,
MUS 396,— Teaching Assistant Training Practicum,(1-4 units),Course Description: Teaching Assistant Training Practicum.,Prerequisite(s): Consent of instructor.
NAS 001,— Introduction to Native American Studies,(4 units),Course Description: Introduction to Native American Studies with emphasis upon basic concepts relating to Native American historical and political development.,
NAS 005,— Introduction to Native American Literature,(4 units),"Course Description: Intensive focus on analysis of Native American literary texts, with frequent writing assignments to develop critical thinking and composition skills.",Prerequisite(s): Completion of Subject A requirement.
NAS 005A,— Writer's Workshop,(2 units),"Course Description: Disciplinary writing support course focuses on the development of writing and revision strategies, exploring ways to understand a writing task, to develop appropriate content for a writing task, to revise content to reflect competence as a communicator.",
NAS 007,— Indigenous & Minority Languages,(4 units),"Course Description: Survey of the status of indigenous, immigrant, and other minority languages in the Americas and around the world. Topics include linguistic diversity, language endangerment & revitalization, heritage language maintenance in immigrant communities, and language change due to transcultural interactions.",
NAS 010,— Native American Experience,(4 units),"Course Description: Introduction to the diverse cultures of Native American peoples from North, Central, and South America. Emphasis on Native American voices in the expression of cultural views and in the experience of conflicting values.",
NAS 012,— Native American/Indigenous Film,(4 units),"Course Description: Survey and analysis of the visual colonization of Native American peoples and the contemporary responses by Native American/Indigenous filmmakers claiming visual sovereignty. Examines a range of filmic genres including documentary, features, shorts, festivals, TV and Internet screening.",
NAS 032,— Native American Music & Dance,(4 units),"Course Description: Introduction to the music and dance of Indigenous peoples across the Americas. Indigenous music and dance from comparative, interdisciplinary, and global perspectives in order to learn about historic and contemporary issues (e.g., social, cultural, economic, technical, and aesthetic) facing Indigenous communities, and the ways in which the issues are expressed through music and dance practices.",
NAS 033,— Introduction to Native American Art,(4 units),"Course Description: Introduction to Native American Art from throughout North America, inclusive of traditional forms, techniques and designs in a range of media including ceramics, basketry, fiberwork, carving, painting, sculpture and photography within a context of social and political history.",
NAS 034,— Native American Art Studio,(4 units),Course Description: Studio projects to be influenced by contemporary and traditional Native American arts. Examples of designs and media presented in lectures will be of indigenous origin. Introduction and familiarized with various materials and techniques.,
NAS 093,— Powwow Internship,(1-4 units),Course Description: Supervised internship for the annual UC Davis Powwow.,Prerequisite(s): Consent of instructor.
NAS 098,— Directed Group Study,(1-5 units),Course Description: Directed group study.,Prerequisite(s): Consent of instructor.
NAS 099,— Special Study for Undergraduates,(1-5 units),Course Description: Special study for undergraduates.,Prerequisite(s): Consent of instructor.
NAS 101,— Contemporary Native American Art,(4 units),"Course Description: Examination of contemporary artworks by selected Native American and Indigenous Master artists, in a wide range of media, including ceramics, metal arts, photography, video, painting, installation and performance within a context of political and social histories.",
NAS 107,— Learning Native American Languages,(4 units),Course Description: Self-directed study of a Native American language using revitalization strategies. Origins of language endangerment and the importance of language for cultural reclamation.,
NAS 108,— Indigenous Languages of California,(4 units),"Course Description: Survey of the indigenous languages of the California region: linguistic prehistory, languages at first European contact, subsequent language loss, current efforts at language and cultural revitalization, indigenous languages of recent immigrants to California.",
NAS 109,— Native American Language Spotlight,(4 units),"Course Description: In-depth examination of the history, structure, and sociolinguistics of a particular Native American language or language family. Different language studied each time the course is offered. Oral proficiency component included in some years.",
NAS 110A,— Quechua Language & Society: Beginning Level 1,(4 units),Course Description: Quechua language and society emphasizing the practical use of the language. Provides some basic Quechua communication skills and with an initial knowledge about contemporary Andean society and the status of Quechua language today.,
NAS 110B,— Quechua Language & Society: Beginning Level 2,(4 units),Course Description: Second Level of the teaching of Quechua language and society. Emphasis on development of conversational and reading skills. Continuation of the study of aspects of contemporary Andean society and the status of Quechua language today.,Prerequisite(s): NAS 110A.
NAS 110C,— Quechua Language & Society: Intermediate Level 1,(4 units),Course Description: Third level of the teaching of Quechua language and society. Emphasis on development of conversational and reading skills. Introduction to more complex grammatical structures. Continuing the study of contemporary Andean society and the status of Quechua language today.,Prerequisite(s): NAS 110A; NAS 110B.
NAS 110D,— Quechua Language & Society: Intermediate Level 2,(4 units),Course Description: Fourth level of the teaching of Quechua language and society. Emphasis on complex structural patterns while emphasizing conversational skills and improving reading competence. Study of different sociopolitical processes that have affected Andean identity and the status of Quechua language.,Prerequisite(s): NAS 110A; NAS 110B; NAS 110C.
NAS 115,— Native Americans in the Contemporary World,(4 units),"Course Description: Important issues facing Native Americans in the contemporary world. Focus primarily on the diverse ways of life, histories and realities of indigenous people throughout the Americas as they develop their own cultural and political institutions.",Prerequisite(s): Upper division standing or consent of instructor.
NAS 116,— Native American Traditional Governments,(4 units),"Course Description: Study of selected Native American Tribal Governments, confederations, leagues, and alliance systems.",Prerequisite(s): NAS 001; ANT 002.
NAS 117,— Native American Governmental Decision Making,(4 units),"Course Description: Native American governmental and community decision making with emphasis on federal and state programs, tribal sovereignty, current political trends and funding for tribal services.",Prerequisite(s): NAS 116; POL 002; ANT 123 recommended.
NAS 118,— Native American Politics,(4 units),"Course Description: Examination of the various interest groups and movements found among Native people and how they relate to the determination of Indian affairs. Study of political action available to Native groups, and local communities, along with relevant theory relating to underdevelopment.",Prerequisite(s): Upper division standing or consent of instructor.
NAS 119,— Introduction to Federal Indian Law,(4 units),"Course Description: Introduction to the foundational cases and statutes of federal Indian law, from European Contact through the 20th century.",
NAS 120,— Ethnopolitics of South American Indians,(4 units),"Course Description: Social, political, cultural movements of indigenous South Americans in response to establishment, expansion of European colonialism, post-colonial nation-states. Ethnopolitical processes developed through interactions between Indians, Euroamericans. Socioethnographic analysis of main indigenous areas and the development of national societies. May be taught abroad.",Prerequisite(s): NAS 001; (NAS 010 or NAS 055).
NAS 121,— Corporate Colonialism,(4 units),"Course Description: Price of progress and modernity for native and non-native people. History of the corporation and neoliberalism, military and intelligence agencies, debt, Taylorism, education institutions, media, and law. Discussion of alternatives advocated by contemporary and indigenous social movements.","Prerequisite(s): NAS 001, NAS 010 or NAS 012 encouraged, but not required."
NAS 122,— Native American Community Development,(4 units),Course Description: Application of community development theory and techniques to the development problems of Native American communities.,Prerequisite(s): NAS 001 or NAS 010.
NAS 123,— Native Foods & Farming of the Americas,(4 units),"Course Description: Crop domestication, agrodiversity, and cuisines of the Americas. Cultural and social history of native American foods like maize, potatoes, quinoa, chocolate, peppers, beans, avocados, etc. Discussion of socio-economic, environmental, legal challenges facing indigenous and peasant farmers today.",
NAS 125,— Performance & Culture Among Native Americans,(4 units),"Course Description: Interdisciplinary study of public expressive forms among Native Americans. Comparison and analysis of music, dances, rituals, and dramas from throughout North, Central, and South America in their social and cultural contexts. Extensive film viewing.",Prerequisite(s): Consent of instructor.
NAS 130A,— Native American Ethno-Historical Development,(4 units),Course Description: Study of Native American ethno-history in North America before 1770s.,Prerequisite(s): Upper division standing or consent of instructor.
NAS 130B,— Native American Ethno-Historical Development,(4 units),"Course Description: Study of Native American ethno-history in North America, 1770-1890.",Prerequisite(s): Upper division standing or consent of instructor.
NAS 130C,— Native American Ethno-Historical Development,(4 units),Course Description: Study of Native American ethno-history in North America after 1890.,Prerequisite(s): Upper division standing or consent of instructor.
NAS 133,— Ethnohistory of Native People of Mexico & Central America,(4 units),"Course Description: Ethnohistorical development of pre-colonial, colonial, post-colonial Mexican and Central American indigenous people; the impact of economic and political factors on the process of cultural adaptation. Attention is given to the questions of nation-building, forced assimilation, indigenous resistance, organized political responses.",
NAS 133A,— Ethnohistory of Native Peoples of Mexico & Central America to 1500,(4 units),"Course Description: Ethnohistorical development of the indigenous peoples of Mexico and Central America up to and including the earliest period of European contact. Focus is on indigenous written historical records of the Maya, Mixtec, and Nahuatl peoples.",
NAS 133B,— Ethnohistory of Native Peoples of Mexico & Central America 1500 to 2000,(4 units),"Course Description: Ethnohistory of indigenous peoples of Mexico and Central America from 1500 to contemporary times. Focus on social and cultural dynamics, particularly the role of indigenous people in the process of nation-state building in Mexico and Central America.",
NAS 134,"— Race, Culture, & Nation",(4 units),"Course Description: Exploration of complexities of Native American racial, cultural and national identities and alliances. Study of tribal and federal citizenship, mixed descent and diasporic people(s), claims to resources, ethnic fraud and contemporary movements of cultural resurgence and political sovereignty and self-determination.","Prerequisite(s): Upper division standing or consent of instructor; NAS 001 or NAS 010 encouraged, but not required."
NAS 135,— Gender Construction in Native Societies,(4 units),"Course Description: Historical and traditional Native American constructions of feminine, masculine, and non-binary genders with attention to culture- and place-based gender roles and statuses. Analysis of problems with contemporary terminologies and impacts of colonization on contemporary constructions of gender identities.","Prerequisite(s): Upper division standing or consent of instructor; NAS 001 or NAS 010 encouraged, but not required."
NAS 146,— Orientation to Research in Native American Studies,(4 units),"Course Description: Introduction to basic research resources pertinent to Native American subjects available in the region, including libraries, archives, museums, etc. Emphasis on learning to use documentary resources or other collections of data. Students will carry out individual projects.","Prerequisite(s): Consent of instructor; Native American Studies major or minor, or consent of instructor; NAS 001 or NAS 010 encouraged, but not required."
NAS 157,— Native American Religion & Philosophy,(4 units),Course Description: Religious and philosophical traditions of Native American/indigenous peoples of the Americas.,
NAS 161,— California Indian Environmental Policy I,(4 units),"Course Description: Contemporary California Indian environmental policy issues, with a focus on water, minerals, contamination, and alliance-building. Issues will be placed within historical and political context, drawing on theories of Native environmental ethics, environmental justice, and Federal Indian law.",
NAS 162,— California Indian Environmental Policy II,(4 units),"Course Description: Contemporary California Indian environmental policy issues, with a focus on planning, site protection, and collaborative structures. Issues will be placed within historical and political context, drawing on theories of Native environmental ethics, environmental justice, and Federal Indian law.",
NAS 165,— Keepers of the Flame: Native American Cultural Burning & Land Stewardship in California,(4 units),"Course Description: Use of fire by California Indian tribes to maintain ecosystems that sustain their economic, cultural, and spiritual well being. Guests include Native American cultural practitioners and prescribed fire professionals.",Prerequisite(s): consent of instructor; course involves regular field days working with cultural burn practitioners.
NAS 180,— Native American Women,(4 units),"Course Description: Native American women's life experiences, cross-cultural comparisons of gender roles, and Native women's contemporary feminist thought. Utilizes texts from literature, social science, and autobiography/biography.",
NAS 181A,— Native American Literature,(4 units),"Course Description: Works of fiction (short story, novel) by contemporary Native American authors, with an emphasis on writers from the United States.",Prerequisite(s): NAS 005 or ENG 003 or COM 001 or COM 002 or COM 003.
NAS 181B,— Native American Literature,(4 units),"Course Description: Works by or about Native Americans including non-fiction novels, biographies and autobiographies. Explore ways Native Americans create and recreate their culture through the creative process in literature. Examine from a critical perspective autobiographies and testimonial literature.",Prerequisite(s): NAS 005 or ENG 003 or COM 001 or COM 002 or COM 003.
NAS 181C,— Contemporary Native American Poetry,(4 units),"Course Description: Works of poetry by contemporary Native American/indigenous poets, with some attention to traditional cultural poetic expressions.",
NAS 184,— Contemporary Indigenous Literature of Mexico,(4 units),"Course Description: Contemporary indigenous literature of Mexico, with a focus on the genres (poetry, fiction, drama, essay); analysis of cultural, historical, and spiritual themes, imagery, styles and performances; biographies of and influences on the Native writers themselves.",Prerequisite(s): NAS 001 or NAS 010; NAS 181A or NAS 181C recommended; reading knowledge of Spanish required.
NAS 185,— Native American Literature in Performance,(4 units),"Course Description: Performance of contemporary Native American literature onstage, through adaptations of selected literature as well as the creation of  original pieces.",Prerequisite(s): Consent of instructor.
NAS 188,— Special Topics in Native American Literary Studies,(4 units),Course Description: Special topics drawn from Native American literature.,"Prerequisite(s): Upper division standing and one of the following recommended: NAS 005, NAS 010, NAS 181A, NAS 181C."
NAS 189,— Powwow Internship,(1-4 units),Course Description: Supervised internship for the annual UC Davis Powwow.,Prerequisite(s): Consent of instructor.
NAS 190,— Seminar in Native American Studies,(2 units),Course Description: Seminar of critical issues faced by Native American people.,Prerequisite(s): Senior Standing.
NAS 191,— Topics in Native American Studies,(4 units),"Course Description: Selected topics in Native American Studies related to indigenous knowledges and worldviews from a historical, cultural, hemispheric perspective.",Prerequisite(s): Upper division standing.
NAS 192,— Internship,(1-12 units),"Course Description: Supervised internship in the CN Gorman Museum, community, and institutional settings related to Native American concerns.","Prerequisite(s): Consent of instructor; enrollment dependent on availability of intern position in Native American Studies or the CN Gorman Museum, with priority to Native American Studies minors/majors."
NAS 194HA,— Special Studies for Honors Students,(4 units),"Course Description: Directed reading, research and writing culminating in the completion of a senior honors thesis or project under direction of faculty advisor.",Prerequisite(s): Senior qualifying for honors.
NAS 194HB,— Special Studies for Honors Students,(4 units),"Course Description: Directed reading, research and writing culminating in the completion of a senior honors thesis or project under direction of faculty advisor.",Prerequisite(s): Senior qualifying for honors.
NAS 195,— Field Experience in Native American Studies,(12 units),"Course Description: Field work with governmental and community groups, under supervision of faculty advisor and sponsor. Knowledge acquired in other courses to be applied in field work.","Prerequisite(s): NAS 161; senior standing and major in Native American Studies, completion of lower division major requirements."
NAS 196,— Senior Project in Native American Studies,(4 units),Course Description: Guided research project that enables student to apply the theory and research principles from major course work. Final product is to be a major senior project or thesis.,Prerequisite(s): NAS 195 (can be concurrent); and consent of instructor; senior standing and major in Native American Studies.
NAS 197TC,— Community Tutoring in Native American Studies,(1-5 units),Course Description: Supervise tutoring in community.,Prerequisite(s): Consent of major committee; upper division standing with major in Native American Studies.
NAS 198,— Directed Group Study,(1-5 units),Course Description: Directed group study. May be taught abroad.,Prerequisite(s): Consent of instructor; upper division standing.
NAS 199,— Special Study for Advanced Undergraduates,(1-5 units),Course Description: Special study for advanced undergraduates.,Prerequisite(s): Consent of instructor.
NAS 200,— Basic Concepts in Native American Studies,(4 units),Course Description: Analysis of characteristics of the discipline of Native American Studies. Concentration of traditional and contemporary native scholarship and thought as well as theoretical and methodological consequences derived from application of these ideas.,Prerequisite(s): Consent of instructor; graduate standing.
NAS 202,— Advanced Topics in Native American Studies,(4 units),Course Description: Advanced study of selected topics or themes relevant to the field of Native American studies. Topics will be announced at the time of offering.,Prerequisite(s): Graduate standing.
NAS 207,— Leadership Skills & Strategies in California Language Documentation & Revitalization,(4 units),"Course Description: Introduction to the indigenous languages of the Americas, with a focus on California; an examination of how contemporary Native communities document and revitalize their heritage languages. Learn to assist and administer language programs.",
NAS 208,— Advanced Study of Native American Languages,(4 units),"Course Description: Advanced study of Native American languages. Development of proficiency in a particular language in order to incorporate language into Native American Studies research and argumentation. Engagement with theoretical perspectives on social, cultural, and structural dimensions of language to guide language study.",Prerequisite(s): NAS 107 or equivalent background with a Native American language.
NAS 212,— Community Development for Sovereignty & Autonomy,(4 units),"Course Description: Examines a sample of contemporary indigenous communities from south, central and north America with the goal of understanding and evaluating the strategies adopted by Native American communities to develop and implement forms of sovereignty or autonomous self-management.",Prerequisite(s): Consent of instructor; graduate standing.
NAS 213,— Native Criminality & Deviance,(4 units),"Course Description: Examination of ""deviance"" in Native communities with focus on Native criminality in North America. Analysis of the concept of deviance from several different world views. Readings from a range of theories to incorporate varying theoretical perspective on criminality and deviance.",Prerequisite(s): Graduate standing.
NAS 217,— Public Law 83-280: Colonial Termination,(4 units),"Course Description: Examination of the signature law of the Termination Era, Public Law 83-280. Discussions to include termination, societal conformity, political consent, jurisdiction, self-determination & decolonization, and colonial relationship between Native Peoples and the United States.","Prerequisite(s): Graduate standing, including school of law students."
NAS 220,"— Colonialism, Neoliberalism, & Indigenous Self-Determination",(4 units),"Course Description: History, political economy and legacies of imperial/colonial systems. Continuities and discontinuities with corporate globalization and neoliberalism. Focus on resistance and self-determination of indigenous peoples, but with comparison to other groups.",Prerequisite(s): Graduate standing.
NAS 224,— Performance in the Americas,(4 units),"Course Description: Ethnomusicological and anthropological approaches to study of public performance in the Americas. New ways of looking at music, dance, rituals and other forms of public expressive forms normally called ""folklore"" or ""popular culture.""",Prerequisite(s): Graduate standing.
